skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL
8088523744,5590788,5731712,75537882,1050322,0,306908
7633976,5605964,5893594,75750514,1052982,0,308224
7623462,5605292,5734106,75428514,1037078,0,308630
7635502,5621308,5922266,75307946,1050952,0,308154
7731318,5637170,5694836,75641300,1047508,0,308252
7685370,5626376,5877830,75500460,1048152,0,306054
7681100,5627972,5775462,75510778,1056090,0,305130
7728672,5603010,5856508,75751004,1048194,0,308308
7738374,5616954,5837832,75432588,1055586,168,308630
7729666,5634412,6134058,75701080,1039514,0,308672
7731066,5592258,5641076,73240916,1056104,0,307076
7663558,5548564,6933444,72246370,1052912,0,306782
7690298,5544616,9168446,69286756,1028174,0,306068
7676354,5562088,8833146,67817764,1046136,0,306712
7582652,5527956,8431346,66558548,1026326,0,305704
7646324,5570306,7245056,65412018,1045674,0,298816
7622468,5513298,5267920,64793400,1047256,0,304612
7617848,5562984,5344682,64044778,1044582,168,305508
7628964,5518730,5222406,63513772,1045156,0,303814
7604338,5544406,5698812,62879684,1041782,0,303086
7595714,5503988,5240942,62683656,1031758,0,304626
7555352,5541060,5425308,62272854,1040858,0,302218
7596036,5555564,5501244,62078520,1038954,0,304612
7574434,5501580,5231968,62215132,1033970,0,302050
7588910,5487174,5237582,62564026,1039724,0,304220
7606900,5523420,5269992,62805512,1031002,0,303212
7573300,5514516,5222154,62262760,1039402,168,303478
7573300,5526500,5168016,62209168,1017716,14,301798
7513002,5499746,5126814,62211730,1035468,14,301938
7556122,5487006,5298062,62188392,1038520,14,302372
7550690,5509378,5142914,61964546,1029798,0,301574
7548702,5486362,5119786,61443424,1033634,0,299670
7536158,5487944,5187266,60702936,1038982,0,301924
7543004,5430936,5585468,60596858,1028412,0,302232
7531496,5448940,5310368,60666830,1026424,0,301448
7561134,5469072,5080166,60530302,1034376,168,299908
7528640,5473272,5096994,60474652,1032696,0,301952
7536886,5507306,5060944,60384100,1028930,0,301728
7535780,5451152,5071010,60335394,1016260,0,300202
7541016,5450718,5091296,60349996,1028090,0,300440
7528234,5482204,5047210,60074350,1012704,0,300958
7560546,5461596,5428570,60176606,1013726,0,298620
7533246,5439840,5012518,60092172,1008658,0,298858
7500388,5450018,5052432,60132436,1015280,0,298536
7523124,5449612,5109426,60000304,1014860,168,298186
7529914,5459272,5018958,60014752,1007076,0,298830
7516880,5438636,5055932,59924494,1019424,0,298298
7534940,5452888,5059208,59888038,1016316,0,298102
7508606,5444712,5016508,59959802,1026410,0,298382
7539014,5411154,5062778,59912188,1035832,0,297934
7516250,5442766,5019826,59838492,1029070,0,298424
7555772,5458152,4907322,60012484,1036994,0,297598
7548030,5451586,4945906,59824954,1033648,0,297780
7532574,5463752,4952892,59944346,1028860,168,298788
7557592,5458936,4949504,60005554,1031226,0,297710
7566692,5457550,4991476,59663940,1037218,0,298214
7528710,5480538,4914910,59922212,1027936,0,297388
7525224,5453560,4991014,59977092,1036028,966,297612
7538006,5431342,4958226,59898622,1035594,966,297318
7554022,5432084,4926460,59929996,1027754,966,297374
7532686,5443144,4900448,59862586,1035986,966,295470
7504000,5453868,4925060,59761730,1033536,966,297304
7534240,5456864,4889052,59855194,1029532,1134,296198
7561246,5447204,5041624,59873310,1033046,966,296800
7546238,5438944,4988550,59862908,1035706,966,294616
7549640,5494874,4965324,59821818,1039514,0,294994
7528542,5469800,4931402,59968384,1022266,0,296310
7536886,5438790,5060622,59831240,1036056,0,295512
7549528,5442752,4944268,59769864,1033200,0,295498
7547792,5430432,4913104,59747674,1038324,0,295960
7520730,5452734,4949952,59750796,1028216,0,295554
7533330,5424426,4965786,59775674,1032178,0,295092
7531538,5444782,5000268,59663940,1038058,0,294938
7537586,5433694,4991182,59636920,1032640,14,293818
7541534,5459048,4881800,59774218,1028160,14,292488
7537894,5438636,4947040,59771306,1030624,14,293258
7535290,5451026,5159252,59706486,1032500,14,291760
7540288,5442234,4939858,59695426,1027250,0,293622
7528066,5429368,5049772,59722404,1031128,0,293762
7529522,5369014,5020596,59708460,1035132,0,294448
7483518,5454400,4990426,59689364,1033592,0,293888
7512470,5416474,5060230,59750054,1023960,0,294140
7480592,5444894,4978946,59748416,1028916,0,295862
7482034,5418476,4987108,59649464,1033760,0,296394
7454916,5456598,4984924,59635450,1026298,0,297556
7459606,5439364,5069876,59566220,1031240,0,296072
7449834,5436256,5045586,59582250,1036196,0,296254
7422268,5442962,5002788,59581690,1034460,0,296184
7421610,5454680,4955482,59600954,1025010,0,297108
7413126,5404630,4984882,59631894,1031926,0,296366
7379862,5438216,5041960,59584896,1034950,0,296478
7367724,5436228,4964372,59572716,1032500,0,297024
7330806,5453210,4911270,59605938,1026956,0,296520
7323134,5431034,4916422,59656254,1034852,0,295848
7343406,5399268,5510890,59515820,1034544,0,297024
7359744,5415802,4929778,59528966,1029812,0,297318
7349370,5437012,4934440,59525914,1023792,0,297556
7392434,5420254,4920510,59523296,1033116,0,296562
7392602,5425728,4971456,59503794,1034180,0,297500
7403648,5403258,5063044,59431568,1034306,0,297556
7474712,5417636,5048848,59423630,1033270,0,297696
7514388,5367012,5041512,59476984,1019690,0,298424
7501172,5385464,5019168,59546802,1034866,0,297430
7512596,5408690,5108026,59532172,1022364,0,298242
7492912,5360292,5072326,59500868,1025920,0,297948
7513702,5380284,4974256,59582600,1037148,0,297822
7487368,5357520,4964092,59451490,1034516,0,298004
7506828,5382202,4945570,59470894,1026060,0,297780
7498106,5337920,4933670,59590104,1025262,0,298508
7499352,5292014,5087684,59485622,1030862,0,298396
7492856,5314106,5052642,59505180,1020768,0,297332
7490504,5295612,5192712,59369968,1033382,0,296660
7483294,5305804,5280506,59339042,1030666,0,296996
7489216,5319076,5100018,59319694,1021832,0,298074
7482902,5324648,5197836,59444714,1032416,0,297752
7471170,5327056,5211248,59342024,1018108,0,296996
7432908,5335008,5896954,59084494,1023932,0,298004
7478562,5379416,5452594,59140634,1026396,0,297934
7468398,5421570,5767174,59148026,1024240,0,298340
7456316,5413184,5782224,59299142,1032556,0,297920
7495376,5413786,5962054,59156832,1030764,14,298340
7492380,5424132,5463332,59160794,1027138,14,295568
7460194,5397364,5891004,59146794,1029840,14,297724
7491148,5415228,6449506,59138268,1032668,0,298382
7487102,5420870,5705588,59103128,1021790,0,298592
7495432,5405176,6200936,59290350,1026830,0,297808
7496174,5441576,8774234,59203886,1021426,0,298508
7493290,5414290,9099300,59412696,1031926,0,298088
7495446,5420268,9043006,59138856,1032948,0,298662
7467558,5428654,8710170,59189550,1016932,0,298620
7497910,5421122,8803130,59228330,1033592,0,297374
7508578,5409950,8515178,59184286,1033284,0,298662
7502544,5396902,8234212,59150378,1024520,0,298410
7497770,5413618,8085938,58987712,1031730,0,297864
7495866,5424790,6745088,59174640,1022476,0,298774
7485226,5409222,5045068,59163888,1031324,168,298802
7460180,5410244,5016410,59223066,1030246,0,298676
7484204,5422718,4988004,59144260,1026172,0,298396
7493374,5411574,5266240,59235960,1032248,0,298998
7447650,5428080,5049660,59259788,1025780,0,298298
7498176,5412904,4914952,59177398,1033340,0,298382
7477120,5410230,4939564,59033114,1030904,0,298480
7489636,5424958,4941930,58976694,1025962,0,298508
7488796,5405106,5012056,59911880,1028664,0,297178
7444976,5406408,4994976,60186868,1026718,168,298270
7489188,5400584,5006036,60406710,1028860,0,298564
7496440,5408816,4957022,60299148,1031926,0,298508
7462182,5411196,4924570,60403084,1026522,0,296912
7479542,5398092,5113094,60068344,1028356,0,298018
7446376,5411322,4954082,60210570,1023974,0,296786
7485632,5400416,4863782,60282530,1029490,0,298368
7446306,5402978,4912376,59987424,1029238,0,297822
7479640,5415410,4857594,59194128,1028958,0,298606
7474404,5404882,4890046,59214302,1025836,168,297640
7484120,5402656,4961250,59081666,1025038,0,298032
7460642,5346334,5273226,59074624,1019130,0,298634
7492716,5405064,5014772,59110352,1024100,0,296940
7475272,5408970,5055932,59140074,1017142,0,298102
7500990,5408620,4946718,59200414,1024366,0,297892
7471744,5406226,4941132,59210382,1020978,0,297514
7481684,5425840,4926124,59122168,1013376,0,298620
7482328,5372164,4924290,59176754,1019242,0,297808
7484442,5405204,4939914,59043166,1014328,168,298732
7476616,5380060,4927174,59238998,1011892,0,297682
7483742,5404350,4951940,59069738,1008224,0,298718
7473018,5395404,4923296,59165274,1009036,0,297864
7474852,5396286,5153876,59201058,1014986,0,298186
7485408,5397770,5020848,59141488,1017128,14,297948
7484680,5397336,4950442,59151582,1022812,14,297948
7462196,5393206,5015486,59176096,1031884,14,297906
7482034,5401326,5048078,59144484,1026382,0,298326
7501270,5394088,4953676,59182508,1029532,168,297136
7480648,5402810,4936232,59133172,1031856,0,297906
7480228,5405932,4964890,59089646,1024352,0,297206
7478492,5397322,4903696,59124212,1029938,0,298046
7500052,5232528,5920362,67036830,1017324,0,297598
7473970,5388320,5058690,59245298,1026200,0,298564
7502236,5390602,5751214,59106124,1031870,532,297808
7474488,5404336,5124616,59145268,1019788,966,297346
7447412,5393920,5310592,59195654,1032808,966,297262
7479122,5389272,5177858,59141642,1032752,1134,298340
7471450,5397518,5125708,59028242,1023610,966,298172
7473746,5395152,5129558,59090332,1031968,966,294826
7435946,5398400,5144188,59234518,1032724,966,296716
7488236,5390182,5209834,59049620,1025346,966,297780
7484596,5402054,5133450,59241574,1029266,966,297094
7495838,5408410,5098982,59161592,1027432,0,296282
7482146,5388208,5135984,59255784,1027572,0,296436
7487816,5411560,5123090,59138226,1024268,0,294728
7482272,5398232,5242328,59318056,1028916,168,294644
7485408,5407192,5176850,59219048,1026858,0,295302
7388052,5412022,5295906,59194870,1022210,0,294140
7481404,5387746,5194686,59318028,1021888,0,294434
7476336,5399044,5305314,59276308,1024548,0,294056
7481782,5394872,5147226,59483690,1022210,0,293370
7493570,5398134,5271574,59179260,1023148,0,291830
7467138,5422648,5192712,59241980,1024646,0,292894
7485114,5415606,5187882,59319848,1025612,0,292250
7467852,5406758,5367880,59226160,1029798,168,292180
7487424,5413632,5222098,59312652,1016148,0,293006
7481726,5399828,5193762,59283490,1022070,0,293258
7488502,5403286,5260080,59257450,1024380,0,294350
7467320,5391134,5296480,59267684,1016974,0,295652
7458836,5396762,5279414,59208870,1030596,0,297136
7437738,5410286,5192180,59220308,1013866,0,298214
7370762,5367082,5190542,59215520,1030372,0,297864
7418026,5397910,5212900,59135496,1022364,0,297990
7417746,5408620,5228818,59266788,1013502,168,298536
7369544,5403552,5206138,59256260,1022322,0,295834
7399672,5401032,5286008,59284932,1022644,0,297990
7383992,5416516,5158286,59349542,1012018,0,297682
7359436,5407780,5282018,59205244,1020558,0,297724
7374304,5434114,5343282,59221470,1021818,0,297444
7333452,5397532,5285560,59289006,1022070,14,297906
7296632,5409404,5082896,59268034,1029350,14,297822
7326494,5413408,5100046,59255182,1017548,14,297458
7347900,5393430,4982418,59338426,1017128,168,297458
7338142,5392128,5074594,59234154,1026760,0,297794
7363594,5395726,5056716,59280984,1009596,0,294630
7394422,5390756,5035324,59296902,1025164,0,296842
7364756,5384078,5092192,59286220,1020166,0,297696
7458164,5373242,5140296,59291610,1022280,0,297290
7481110,5362112,5106108,59262434,1024730,0,297528
7483896,5340636,5097008,59230990,1011570,0,297906
7482846,5335904,5094320,59281614,1021958,0,296086
7480074,5352158,5112044,58984016,1014678,168,298018
7484078,5336100,5296032,59226216,1022378,0,296898
7487942,5322520,4941888,59497620,1026844,0,298508
7510692,5355378,4919236,59476774,1025626,0,295876
7515256,5313084,4891922,59528014,1029266,0,298130
7502460,5283096,4940782,59375246,1023428,0,298732
7509726,5302108,4917612,59329746,1019508,0,298438
7503846,5299938,4878482,59469774,1020404,0,296660
7507472,5331564,4924010,59479238,1026298,0,298452
7499590,5322940,4983706,59578204,1027054,168,299040
7507206,5325754,5181638,59291078,1027180,0,298760
7506674,5352494,5288388,59420270,1019690,0,298858
7510972,5368888,5325250,59496136,1026872,0,298592
7497686,5414794,5455912,59609438,1023148,0,297906
7514612,5421934,5497646,59369464,1019872,0,298956
7505904,5397588,5525576,59531318,1023666,0,298130
7493206,5426904,5700338,59477698,1026634,0,298816
7512120,5425070,5825330,59507210,1024100,0,298088
7491134,5453672,6122858,59485832,1019704,168,296366
7508550,5429788,6159790,59468444,1026592,0,298424
7509628,5437796,6406960,58249646,994798,0,297976
7511504,5434268,6010466,59428096,1007636,0,299012
7511742,5433848,4939088,59255714,1029434,0,299082
7487606,5412932,5052852,59454360,1028580,0,298956
7404488,5414864,4908330,59336536,1028860,0,299474
7394072,5422620,4873778,59388294,1024534,0,298228
7343098,5442136,4906258,59256302,1023820,0,298886
7316932,5418798,4910122,59257576,1029252,0,298620
7348068,5437376,4874772,59349318,1020026,0,298088
7330372,5418490,4894330,59338342,1031282,0,298648
7350812,5413114,4936890,59400096,1031240,0,298382
7356370,5406702,4886378,59306786,1026424,0,298326
7378826,5410342,5020078,59188962,1024450,0,297010
7375648,5403958,4866092,59309264,1020558,0,298956
7424102,5387550,4958128,59318490,1031492,0,298494
7478800,5353278,4905404,59407656,1020992,14,297892
7463400,5362210,4867380,59324608,1028006,14,298914
7486934,5353250,4826612,59414194,1030890,14,298018
7494214,5374082,4869956,59244066,1021552,0,298760
7498554,5353852,4831568,59765524,1029070,0,298830
7491484,5353138,4963182,59535714,1023134,0,299012
7419356,5295262,5031096,59467128,1031436,0,298606
7493360,5333888,4925578,59501750,1012270,0,298536
7485310,5265988,4972912,59449040,1028692,0,298340
7477134,5235286,4874968,59730650,1032878,0,297444
7482118,5305762,4891040,59602816,1021986,0,298956
7495320,5296774,4955972,59641162,1025444,0,298704
7486990,5279792,4890900,59588634,1019326,0,299166
7500640,5294464,4970574,59603194,1032976,0,298956
7498568,5314792,4935378,59863454,1032094,980,298662
7487158,5334140,5376742,59676582,1031100,0,299040
7494578,5361132,5142340,59940090,1033102,0,298340
7494130,5399184,5303088,59759966,1034782,0,298760
7487438,5403202,5505766,59896144,1033662,980,297444
7491960,5427786,5378114,59720164,1017506,0,299152
7491960,5397770,5528488,59742480,1030344,0,298662
7503566,5382622,5662398,59909850,1033060,0,298410
7498750,5405204,5921286,59825080,1032346,980,298886
7504392,5400920,6088180,59744342,1031352,0,298634
7503538,5429102,6286742,59783794,1023064,980,299404
7514668,5393024,7959574,59710098,1031604,0,299096
7496132,5411840,8801968,59836672,1017702,980,299264
7451444,5408844,9004772,59729460,1030428,0,298774
7499086,5365990,9042656,59812046,1029308,980,298830
7502082,5410916,8358154,59649324,1029308,168,298186
7496720,5405092,8194060,59904908,1031842,980,299082
7513856,5410706,8117564,59810198,1017744,0,299390
7503202,5405680,7867804,59717210,1030246,980,299152
7509880,5393962,6921936,59838604,1029182,0,296884
7508746,5416152,4901778,60012428,1031324,980,298732
7514668,5387998,5051298,60006212,1028188,0,298802
7486108,5410384,4827046,59870538,1023694,980,299222
7511070,5413016,4800572,59874654,1033018,0,299040
